date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:20:17	88/88	---M-Z	200	added ('OK')	text/plain	etag:W/%225eb498d8-48%22	https://bchiang7.github.io/robots.txt		(from )
07:20:17	23756/23756	---M-Z	200	added ('OK')	text/html	etag:W/%225e237cc5-5ccc%22	https://bchiang7.github.io/v3/	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/v3/index.html	(from )
07:20:18	137839/137839	---MCZ	404	error ('Not%20Found')	text/html	etag:1537414305-ssl-df	https://brittanychiang.com/img/emojis/technologist.png	F:/CVs/Web/s1/Portfolio1/brittanychiang.com/img/emojis/technologist.0.delayed	(from https://bchiang7.github.io/v3/)
07:20:19	137839/137839	---MCZ	404	error ('Not%20Found')	text/html	etag:1537414305-ssl-df	https://brittanychiang.com/img/og.png	F:/CVs/Web/s1/Portfolio1/brittanychiang.com/img/og.png	(from https://bchiang7.github.io/v3/)
07:20:19	21905/21905	---M-Z	200	added ('OK')	text/css	etag:W/%225eb498d8-5591%22	https://bchiang7.github.io/css/main.css	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/css/main.css	(from https://bchiang7.github.io/v3/)
07:20:20	225090/225090	---M--	200	added ('OK')	image/png	etag:%225eb498d8-36f42%22	https://bchiang7.github.io/img/featured/blistabloc/blistabloc.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/featured/blistabloc/blistabloc.png	(from https://bchiang7.github.io/v3/)
07:20:20	130390/130390	---M--	200	added ('OK')	image/png	etag:%225eb498d8-1fd56%22	https://bchiang7.github.io/img/featured/screentime/screentime1.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/featured/screentime/screentime1.png	(from https://bchiang7.github.io/v3/)
07:20:21	119606/119606	---M--	200	added ('OK')	image/png	etag:%225eb498d8-1d336%22	https://bchiang7.github.io/img/featured/screentime/screentime4.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/featured/screentime/screentime4.png	(from https://bchiang7.github.io/v3/)
07:20:21	118996/118996	---M--	200	added ('OK')	image/png	etag:%225eb498d8-1d0d4%22	https://bchiang7.github.io/img/featured/screentime/screentime3.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/featured/screentime/screentime3.png	(from https://bchiang7.github.io/v3/)
07:20:21	462272/462272	---M--	200	added ('OK')	image/png	etag:%225eb498d8-70dc0%22	https://bchiang7.github.io/img/featured/interventions/interventions.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/featured/interventions/interventions.png	(from https://bchiang7.github.io/v3/)
07:20:21	15061/15061	---M--	200	added ('OK')	image/png	etag:%225eb498d8-3ad5%22	https://bchiang7.github.io/img/emojis/pointing-up.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/emojis/pointing-up.png	(from https://bchiang7.github.io/v3/)
07:20:22	15974/15974	---M--	200	added ('OK')	image/png	etag:%225eb498d8-3e66%22	https://bchiang7.github.io/img/emojis/rockon.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/emojis/rockon.png	(from https://bchiang7.github.io/v3/)
07:20:22	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497c-152b5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	F:/CVs/Web/s1/Portfolio1/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from https://bchiang7.github.io/v3/)
07:20:23	66/66	---M--	302	error ('Found')	text/plain	date:Tue,%2002%20Jun%202020%2001:20:23%20GMT	https://unpkg.com/scrollreveal/dist/scrollreveal.min.js	F:/CVs/Web/s1/Portfolio1/unpkg.com/scrollreveal/dist/scrollreveal.min.b.delayed	(from https://bchiang7.github.io/v3/)
07:20:23	16571/16571	---M-Z	200	added ('OK')	application/javascript	etag:W/%2240bb-cxLI9Dyhk9shOfQfjtSsLN+W7xI%22	https://unpkg.com/scrollreveal@4.0.6/dist/scrollreveal.min.js	F:/CVs/Web/s1/Portfolio1/unpkg.com/scrollreveal@4.0.6/dist/scrollreveal.min.js	(from https://bchiang7.github.io/v3/)
07:20:23	1858/1858	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e237cc0-742%22	https://bchiang7.github.io/v3/js/main.js	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/v3/js/main.js	(from https://bchiang7.github.io/v3/)
07:20:23	767/767	---M--	200	added ('OK')	image/png	etag:%225eb498d8-2ff%22	https://bchiang7.github.io/img/arrow.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/arrow.png	(from https://bchiang7.github.io/css/main.css)
07:20:24	27394/27394	---M--	200	added ('OK')	image/png	etag:%225eb498d8-6b02%22	https://bchiang7.github.io/img/emojis/wave.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/emojis/wave.png	(from https://bchiang7.github.io/css/main.css)
07:20:24	24550/24550	---M--	200	added ('OK')	image/png	etag:%225eb498d8-5fe6%22	https://bchiang7.github.io/img/emojis/technologist.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/emojis/technologist.png	(from https://bchiang7.github.io/css/main.css)
07:20:24	11143/11143	---M--	200	added ('OK')	image/png	etag:%225eb498d8-2b87%22	https://bchiang7.github.io/img/emojis/pointright.png	F:/CVs/Web/s1/Portfolio1/bchiang7.github.io/img/emojis/pointright.png	(from https://bchiang7.github.io/css/main.css)
